id,title,odometer,location,isimported,engine,transmission,fuel,paint,year,target,brand
0,Toyota RAV 4,18277,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,red,2016,13665000,Toyota
1,Toyota Land Cruiser,10,Lagos,New ,4-cylinder(I4),automatic,petrol,black,2019,33015000,Toyota
2,Land Rover Range Rover Evoque,83091,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,red,2012,9915000,Land
3,Lexus ES 350,91524,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,3815000,Lexus
4,Toyota Venza,94177,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,red,2010,7385000,Toyota
5,Toyota Corolla,216375,Abuja,Locally used,4-cylinder(I4),automatic,petrol,white,2004,1465000,Toyota
6,Land Rover Range Rover Sport,22360,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,black,2008,4615000,Land
7,Pontiac Vibe,82595,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2007,2665000,Pontiac
8,Toyota Tacoma,265550,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,blue,2008,7680000,Toyota
9,Lexus RX 350,27429,Lagos State,Foreign Used,6-cylinder(I6),automatic,petrol,blue,2018,23115000,Lexus
10,Ford Escape,234957,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2008,3165000,Ford
11,Honda Civic,140260,Abuja,Locally used,4-cylinder(I4),automatic,petrol,black,2012,2085000,Honda
12,Volvo XC90,168509,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2008,2615000,Volvo
13,Lexus RX 350,97021,Lagos,Locally used,6-cylinder(I6),automatic,petrol,silver,2008,3515000,Lexus
14,BMW 750,82967,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2009,6630000,BMW
15,Infiniti JX,205729,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2013,6840000,Infiniti
16,Honda Accord,247731,Lagos,Locally used,4-cylinder(I4),automatic,petrol,red,1996,455000,Honda
17,Mercedes-Benz ML 350,103558,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2014,10080000,Mercedes-Benz
18,Toyota Camry,184230,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2002,1203000,Toyota
19,Hyundai Azera,145678,Lagos ,Foreign Used,6-cylinder(V6),automatic,petrol,brown,2013,5500000,Hyundai
20,Lexus GX 460,38031,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2016,17515000,Lexus
21,BMW 325,130364,Abuja,Locally used,6-cylinder(V6),automatic,petrol,black,2006,1615000,BMW
22,Toyota Camry,115442,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,green,2009,3095000,Toyota
23,Toyota RAV 4,31312,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2016,7965000,Toyota
24,Toyota Sienna,75261,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,white,2013,6915000,Toyota
25,Honda Accord,228757,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2004,1570000,Honda
26,Toyota Camry,84194,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,4215000,Toyota
27,Toyota Venza,73807,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2014,8815000,Toyota
28,Honda Fit,28497,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,purple,2017,7015000,Honda
